Starting to process folder: /Users/shaamarl/Desktop/Projects/opensourceversions/Sundance-SMT/20241211-verus
Found 3763 files to process in '/Users/shaamarl/Desktop/Projects/opensourceversions/Sundance-SMT/20241211-verus'
Using 8 parallel processes
[184/3763] splinterdb/journal__PagedJournalRefinement_v.20.smt2 -> UNKNOWN
[185/3763] splinterdb/allocation_layer__MiniAllocator_v.5.smt2 -> UNSAT
[186/3763] splinterdb/betree__LinkedBranch_v.9.smt2 -> UNSAT
[187/3763] splinterdb/betree__PivotBetree_v.15.smt2 -> UNKNOWN
[188/3763] splinterdb/betree__LinkedBranch_v.53.smt2 -> UNKNOWN
[189/3763] splinterdb/allocation_layer__AllocationJournal_v.9.smt2 -> UNKNOWN
[190/3763] splinterdb/journal__LinkedJournal_v.5.smt2 -> UNSAT
[191/3763] splinterdb/marshalling__IntegerMarshalling_v.42.smt2 -> UNKNOWN
[192/3763] splinterdb/journal__LinkedJournal_v.36.smt2 -> UNSAT
[193/3763] splinterdb/betree__PivotBetreeRefinement_v.26.smt2 -> UNKNOWN
[194/3763] splinterdb/betree__PivotBranch_v.23.smt2 -> UNSAT
[195/3763] splinterdb/betree__LinkedBranch_v.28.smt2 -> UNSAT
[196/3763] splinterdb/marshalling__IntegerMarshalling_v.15.smt2 -> UNSAT
[197/3763] splinterdb/allocation_layer__AllocationJournal_v.40.smt2 -> TIMEOUT
[198/3763] splinterdb/betree__LinkedBetree_v.32.smt2 -> UNSAT
[199/3763] splinterdb/betree__LinkedBetree_v.65.smt2 -> UNSAT
[200/3763] splinterdb/betree__PivotBetree_v.39.smt2 -> UNKNOWN
[201/3763] splinterdb/betree__LinkedBranch_v__Refinement_v.35.smt2 -> TIMEOUT
[202/3763] splinterdb/allocation_layer__LikesBetree_v__LikesBetree.4.smt2 -> UNSAT
[203/3763] splinterdb/betree__PagedBetree_v.12.smt2 -> UNKNOWN
[204/3763] splinterdb/betree__LinkedBetree_v__LinkedBetreeVars.4.smt2 -> TIMEOUT
[205/3763] splinterdb/abstract_system__AbstractCrashAwareSystemRefinement_v.28.smt2 -> TIMEOUT
[206/3763] splinterdb/betree__PivotBranchRefinement_v.2.smt2 -> UNSAT
[207/3763] splinterdb/betree__PivotBranchRefinement_v.21.smt2 -> TIMEOUT
[208/3763] splinterdb/betree__LinkedBranch_v__Refinement_v.1.smt2 -> UNKNOWN
[209/3763] splinterdb/betree__Buffer_v.9.smt2 -> UNSAT
[210/3763] splinterdb/allocation_layer__LikesJournal_v__LikesJournal.1.smt2 -> UNSAT
[211/3763] splinterdb/allocation_layer__UnifiedCrashAwareJournal_v.14.smt2 -> UNSAT
[212/3763] splinterdb/allocation_layer__MiniAllocator_v.11.smt2 -> UNSAT
[213/3763] splinterdb/betree__FilteredBetreeRefinement_v.32.smt2 -> TIMEOUT
[214/3763] splinterdb/journal__LinkedJournal_v.20.smt2 -> UNSAT
[215/3763] splinterdb/allocation_layer__UnifiedCrashAwareJournalRefinement_v.7.smt2 -> TIMEOUT
[216/3763] splinterdb/marshalling__IntegerMarshalling_v.54.smt2 -> UNKNOWN
[217/3763] splinterdb/betree__LinkedBetree_v.24.smt2 -> UNSAT
