Starting to process folder: /local/home/shaamarl/testing-sundance/Sundance-SMT/20241211-verus
[145/3763] verussystems/noderep-smt-exec__rwlock.9.smt2 -> UNSAT [1.22s]
[146/3763] verussystems/ironkv-smt-delegation_map_v.7.smt2 -> UNSAT [1.60s]
[147/3763] verussystems/noderep-smt-constants.1.smt2 -> UNSAT [1.01s]
[148/3763] verussystems/mimalloc-smt-config.3.smt2 -> UNKNOWN [1.00s]
[149/3763] verussystems/ironkv-smt-delegation_map_v.5.smt2 -> UNSAT [1.46s]
[150/3763] verussystems/ironkv-smt-host_protocol_t.22.smt2 -> UNSAT [1.23s]
[151/3763] verussystems/ironkv-smt-single_delivery_t.5.smt2 -> UNKNOWN [0.89s]
[152/3763] atmosphere/pagetable__pagemap.3.smt2 -> UNKNOWN [9.70s]
[153/3763] verussystems/mimalloc-smt-flags.7.smt2 -> UNKNOWN [0.75s]
[154/3763] verussystems/ironkv-smt-verus_extra__set_lib_ext_v.18.smt2 -> UNSAT [0.75s]
[155/3763] verussystems/noderep-smt-spec__rwlock__RwLockSpec.8.smt2 -> UNKNOWN [3.98s]
[156/3763] verussystems/verified-storage-smt-verified-storage-smt-pmemlog-logimpl_v.5.smt2 -> UNSAT [0.60s]
[157/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.16.smt2 -> UNSAT [0.93s]
[158/3763] verussystems/ironkv-smt-single_delivery_t.4.smt2 -> UNSAT [0.58s]
[159/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-pmem__traits_t.2.smt2 -> UNSAT [0.43s]
[160/3763] verussystems/ironkv-smt-delegation_map_v.31.smt2 -> UNKNOWN [2.08s]
[161/3763] verussystems/ironkv-smt-delegation_map_v.11.smt2 -> UNSAT [0.83s]
[162/3763] verussystems/verified-storage-smt-verified-storage-smt-pmemlog-pmemspec_t.3.smt2 -> UNSAT [0.38s]
[163/3763] verussystems/ironkv-smt-host_protocol_t.3.smt2 -> UNSAT [2.33s]
[164/3763] verussystems/ironkv-smt-single_delivery_t.15.smt2 -> UNKNOWN [0.48s]
[165/3763] verussystems/noderep-smt-spec__unbounded_log__UnboundedLog.19.smt2 -> UNSAT [1.79s]
[166/3763] verussystems/ironkv-smt-marshal_v.9.smt2 -> UNKNOWN [1.15s]
[167/3763] verussystems/ironkv-smt-cmessage_v.13.smt2 -> UNKNOWN [2.09s]
[168/3763] atmosphere/pagetable__pagemap_util_t.2.smt2 -> UNKNOWN [10.43s]
[169/3763] verussystems/ironkv-smt-verus_extra__seq_lib_v.3.smt2 -> UNKNOWN [0.64s]
[170/3763] verussystems/noderep-smt-exec__rwlock.6.smt2 -> UNKNOWN [2.54s]
[171/3763] verussystems/verified-storage-smt-verified-storage-smt-pmemlog-logimpl_v.8.smt2 -> UNSAT [0.38s]
[172/3763] verussystems/mimalloc-smt-flags.1.smt2 -> UNSAT [0.23s]
[173/3763] verussystems/noderep-smt-spec__rwlock__RwLockSpec.19.smt2 -> UNKNOWN [2.45s]
[174/3763] verussystems/noderep-smt-spec__rwlock__RwLockSpec.1.smt2 -> UNKNOWN [2.79s]
[175/3763] atmosphere/array.5.smt2 -> UNKNOWN [10.79s]
[176/3763] verussystems/noderep-smt-spec__linearization.3.smt2 -> OTHER [0.31s]
[177/3763] verussystems/ironkv-smt-delegation_map_v.48.smt2 -> UNSAT [1.25s]
[178/3763] verussystems/noderep-smt-spec__unbounded_log_refines_simplelog.2.smt2 -> UNSAT [0.63s]
[179/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-kv__kvimpl_v.10.smt2 -> UNSAT [0.34s]
[180/3763] verussystems/ironkv-smt-single_delivery_t.10.smt2 -> UNSAT [0.26s]
[181/3763] verussystems/ironkv-smt-marshal_v.26.smt2 -> UNSAT [0.34s]
[182/3763] verussystems/ironkv-smt-delegation_map_v.8.smt2 -> UNSAT [0.61s]
[183/3763] verussystems/ironkv-smt-delegation_map_v.34.smt2 -> UNKNOWN [1.20s]
[184/3763] verussystems/mimalloc-smt-linked_list__StuffAgree.2.smt2 -> UNSAT [0.26s]
[185/3763] verussystems/noderep-smt-spec__unbounded_log__UnboundedLog.21.smt2 -> UNSAT [2.71s]
[186/3763] verussystems/ironkv-smt-verus_extra__set_lib_ext_v.13.smt2 -> UNKNOWN [0.78s]
[187/3763] verussystems/ironkv-smt-marshal_v.12.smt2 -> UNKNOWN [0.63s]
[188/3763] verussystems/ironkv-smt-host_protocol_t.5.smt2 -> UNSAT [2.54s]
[189/3763] verussystems/noderep-smt-spec__flat_combiner__FlatCombiner.7.smt2 -> UNSAT [2.04s]
[190/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-kv__kvimpl_t.5.smt2 -> UNSAT [2.57s]
[191/3763] verussystems/noderep-smt-spec__flat_combiner__FlatCombiner.4.smt2 -> UNSAT [4.10s]
[192/3763] verussystems/ironkv-smt-marshal_v.4.smt2 -> UNKNOWN [0.42s]
[193/3763] verussystems/mimalloc-smt-types__BoolAgree.3.smt2 -> UNSAT [0.34s]
[194/3763] verussystems/ironkv-smt-keys_t.4.smt2 -> UNSAT [0.16s]
[195/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.9.smt2 -> UNKNOWN [0.71s]
[196/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-pmem__traits_t.1.smt2 -> UNSAT [0.16s]
[197/3763] verussystems/ironkv-smt-cmessage_v.10.smt2 -> UNSAT [0.71s]
[198/3763] verussystems/noderep-smt-spec__unbounded_log__UnboundedLog.5.smt2 -> UNSAT [1.36s]
[199/3763] verussystems/ironkv-smt-marshal_v.15.smt2 -> UNSAT [0.41s]
[200/3763] verussystems/ironkv-smt-verus_extra__set_lib_ext_v.4.smt2 -> UNKNOWN [1.05s]
[201/3763] verussystems/mimalloc-smt-pigeonhole.5.smt2 -> UNKNOWN [1.88s]
[202/3763] verussystems/noderep-smt-spec__unbounded_log_refines_simplelog.6.smt2 -> UNSAT [0.59s]
[203/3763] verussystems/ironkv-smt-seq_is_unique_v.5.smt2 -> UNKNOWN [1.17s]
[204/3763] verussystems/ironkv-smt-verus_extra__seq_lib_v.11.smt2 -> UNKNOWN [0.27s]
[205/3763] verussystems/ironkv-smt-marshal_v.51.smt2 -> UNKNOWN [1.21s]
[206/3763] verussystems/noderep-smt-exec__rwlock.3.smt2 -> UNSAT [1.22s]
[207/3763] verussystems/ironkv-smt-io_t.3.smt2 -> UNSAT [0.40s]
[208/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.22.smt2 -> UNSAT [0.54s]
[209/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-log__layout_v.2.smt2 -> UNSAT [0.30s]
[210/3763] verussystems/mimalloc-smt-flags.8.smt2 -> UNSAT [0.25s]
[211/3763] verussystems/ironkv-smt-marshal_v.43.smt2 -> UNSAT [0.33s]
[212/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.8.smt2 -> UNKNOWN [1.05s]
[213/3763] verussystems/noderep-smt-spec__unbounded_log.8.smt2 -> UNKNOWN [6.66s]
[214/3763] verussystems/ironkv-smt-verus_extra__set_lib_ext_v.16.smt2 -> UNKNOWN [2.67s]
[215/3763] verussystems/noderep-smt-exec__rwlock.7.smt2 -> UNSAT [0.25s]
[216/3763] verussystems/noderep-smt-spec__rwlock__RwLockSpec.9.smt2 -> UNKNOWN [1.53s]
[217/3763] verussystems/ironkv-smt-args_t.2.smt2 -> UNKNOWN [0.49s]
[218/3763] verussystems/ironkv-smt-verus_extra__seq_lib_v.4.smt2 -> UNKNOWN [0.49s]
[219/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.18.smt2 -> UNKNOWN [7.11s]
[220/3763] verussystems/ironkv-smt-marshal_v.3.smt2 -> UNSAT [0.30s]
[221/3763] verussystems/ironkv-smt-host_impl_v.6.smt2 -> UNKNOWN [7.71s]
[222/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.44.smt2 -> UNSAT [0.54s]
[223/3763] verussystems/ironkv-smt-delegation_map_v.36.smt2 -> UNKNOWN [8.97s]
[224/3763] verussystems/verified-storage-smt-verified-storage-smt-pmemlog-pmemspec_t.2.smt2 -> UNSAT [0.19s]
[225/3763] verussystems/noderep-smt-exec__rwlock.5.smt2 -> UNKNOWN [1.49s]
[226/3763] verussystems/ironkv-smt-verus_extra__set_lib_ext_v.11.smt2 -> UNKNOWN [1.60s]
[227/3763] verussystems/ironkv-smt-verus_extra__set_lib_ext_v.21.smt2 -> UNKNOWN [0.45s]
[228/3763] verussystems/noderep-smt-spec__rwlock__RwLockSpec.3.smt2 -> UNKNOWN [1.53s]
[229/3763] verussystems/verified-storage-smt-verified-storage-smt-pmemlog-logimpl_v.3.smt2 -> UNSAT [0.29s]
[230/3763] verussystems/ironkv-smt-marshal_v.6.smt2 -> UNKNOWN [0.73s]
[231/3763] verussystems/noderep-smt-spec__unbounded_log.1.smt2 -> UNKNOWN [0.25s]
[232/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-pmem__linux_pmemfile_t.1.smt2 -> UNKNOWN [1.75s]
[233/3763] verussystems/noderep-smt-spec__unbounded_log__UnboundedLog.27.smt2 -> UNSAT [1.16s]
[234/3763] verussystems/ironkv-smt-marshal_v.34.smt2 -> UNKNOWN [1.82s]
[235/3763] verussystems/noderep-smt-spec__unbounded_log.13.smt2 -> UNKNOWN [7.30s]
[236/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.30.smt2 -> UNSAT [0.28s]
[237/3763] verussystems/ironkv-smt-marshal_v.37.smt2 -> UNKNOWN [3.20s]
[238/3763] verussystems/ironkv-smt-cmessage_v.19.smt2 -> UNSAT [0.23s]
[239/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.17.smt2 -> UNKNOWN [8.29s]
[240/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.39.smt2 -> UNKNOWN [1.31s]
[241/3763] verussystems/mimalloc-smt-linked_list__StuffAgree.1.smt2 -> UNSAT [0.26s]
[242/3763] verussystems/ironkv-smt-host_protocol_t.26.smt2 -> UNKNOWN [5.11s]
[243/3763] verussystems/noderep-smt-spec__unbounded_log.10.smt2 -> UNKNOWN [5.41s]
[244/3763] verussystems/ironkv-smt-verus_extra__set_lib_ext_v.14.smt2 -> UNKNOWN [1.18s]
[245/3763] verussystems/ironkv-smt-host_protocol_t.13.smt2 -> UNSAT [0.37s]
[246/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.4.smt2 -> UNSAT [0.51s]
[247/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.33.smt2 -> UNSAT [0.57s]
