Starting to process folder: /local/home/shaamarl/testing-sundance/Sundance-SMT/20241211-verus-modified11
[125/3763] verussystems/ironkv-smt-marshal_v.49.smt2 -> UNKNOWN [2.93s]
[126/3763] atmosphere/array_set.3.smt2 -> UNKNOWN [9.92s]
[127/3763] verussystems/ironkv-smt-cmessage_v.9.smt2 -> UNSAT [4.18s]
[128/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-kv__kvimpl_v.13.smt2 -> UNSAT [2.83s]
[129/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.42.smt2 -> UNSAT [2.91s]
[130/3763] verussystems/ironkv-smt-marshal_v.48.smt2 -> UNKNOWN [2.93s]
[131/3763] verussystems/noderep-smt-spec__unbounded_log__UnboundedLog.9.smt2 -> UNSAT [4.31s]
[132/3763] verussystems/ironkv-smt-keys_t.9.smt2 -> UNSAT [2.61s]
[133/3763] verussystems/ironkv-smt-keys_t.5.smt2 -> UNSAT [2.54s]
[134/3763] verussystems/ironkv-smt-marshal_v.54.smt2 -> UNKNOWN [3.06s]
[135/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-kv__kvimpl_t.12.smt2 -> UNSAT [3.71s]
[136/3763] verussystems/noderep-smt-spec__rwlock__RwLockSpec.16.smt2 -> UNSAT [3.45s]
[137/3763] verussystems/mimalloc-smt-flags.10.smt2 -> UNKNOWN [2.52s]
[138/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-kv__kvimpl_v.6.smt2 -> UNSAT [2.56s]
[139/3763] verussystems/ironkv-smt-marshal_v.2.smt2 -> UNSAT [2.54s]
[140/3763] verussystems/ironkv-smt-verus_extra__seq_lib_v.1.smt2 -> UNKNOWN [2.75s]
[141/3763] verussystems/ironkv-smt-verus_extra__set_lib_ext_v.6.smt2 -> UNKNOWN [10.46s]
[142/3763] verussystems/noderep-smt-constants.1.smt2 -> UNSAT [2.46s]
[143/3763] verussystems/noderep-smt-exec__rwlock.9.smt2 -> UNSAT [2.59s]
[144/3763] verussystems/ironkv-smt-delegation_map_v.7.smt2 -> UNSAT [2.85s]
[145/3763] verussystems/mimalloc-smt-config.3.smt2 -> UNKNOWN [2.45s]
[146/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-kv__kvimpl_t.6.smt2 -> UNSAT [10.84s]
[147/3763] verussystems/mimalloc-smt-pigeonhole.6.smt2 -> UNKNOWN [3.04s]
[148/3763] verussystems/ironkv-smt-host_protocol_t.22.smt2 -> UNSAT [2.74s]
[149/3763] verussystems/ironkv-smt-delegation_map_v.5.smt2 -> UNSAT [2.83s]
[150/3763] verussystems/ironkv-smt-cmessage_v.13.smt2 -> UNSAT [2.67s]
[151/3763] verussystems/noderep-smt-spec__unbounded_log_refines_simplelog.3.smt2 -> UNKNOWN [4.67s]
[152/3763] verussystems/ironkv-smt-single_delivery_t.5.smt2 -> UNKNOWN [2.52s]
[153/3763] verussystems/mimalloc-smt-flags.7.smt2 -> UNKNOWN [2.45s]
[154/3763] atmosphere/process_manager__container_tree_spec_impl.10.smt2 -> UNKNOWN [11.11s]
[155/3763] verussystems/ironkv-smt-verus_extra__set_lib_ext_v.18.smt2 -> UNSAT [2.47s]
[156/3763] verussystems/noderep-smt-spec__unbounded_log.4.smt2 -> UNKNOWN [3.84s]
[157/3763] atmosphere/array.5.smt2 -> UNKNOWN [11.16s]
[158/3763] verussystems/verified-storage-smt-verified-storage-smt-pmemlog-logimpl_v.5.smt2 -> UNSAT [2.28s]
[159/3763] verussystems/ironkv-smt-single_delivery_t.4.smt2 -> UNSAT [2.30s]
