Starting to process folder: /local/home/shaamarl/testing-sundance/Sundance-SMT/20241211-verus-modified11
[163/3763] verussystems/ironkv-smt-delegation_map_v.11.smt2 -> UNSAT [2.64s]
[164/3763] verussystems/ironkv-smt-delegation_map_v.31.smt2 -> UNKNOWN [3.45s]
[165/3763] verussystems/noderep-smt-spec__unbounded_log__UnboundedLog.10.smt2 -> UNKNOWN [11.38s]
[166/3763] verussystems/noderep-smt-exec__rwlock.6.smt2 -> UNSAT [3.51s]
[167/3763] atmosphere/pagetable__pagemap.3.smt2 -> UNKNOWN [11.47s]
[168/3763] verussystems/ironkv-smt-marshal_v.9.smt2 -> UNKNOWN [2.89s]
[169/3763] verussystems/ironkv-smt-verus_extra__seq_lib_v.3.smt2 -> UNKNOWN [2.34s]
[170/3763] verussystems/verified-storage-smt-verified-storage-smt-pmemlog-logimpl_v.8.smt2 -> UNSAT [2.06s]
[171/3763] verussystems/ironkv-smt-host_protocol_t.3.smt2 -> UNSAT [3.67s]
[172/3763] verussystems/noderep-smt-spec__unbounded_log__UnboundedLog.19.smt2 -> UNSAT [3.34s]
[173/3763] verussystems/mimalloc-smt-flags.1.smt2 -> UNSAT [2.07s]
[174/3763] verussystems/ironkv-smt-marshal_v.22.smt2 -> UNKNOWN [4.38s]
[175/3763] verussystems/ironkv-smt-delegation_map_v.48.smt2 -> UNSAT [2.75s]
[176/3763] verussystems/noderep-smt-spec__linearization.3.smt2 -> OTHER [2.10s]
[177/3763] verussystems/noderep-smt-spec__unbounded_log_refines_simplelog.2.smt2 -> UNSAT [2.30s]
[178/3763] atmosphere/array_set.1.smt2 -> UNKNOWN [11.87s]
[179/3763] verussystems/ironkv-smt-single_delivery_t.10.smt2 -> UNSAT [2.10s]
[180/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-kv__kvimpl_v.10.smt2 -> UNSAT [2.21s]
[181/3763] atmosphere/array.1.smt2 -> UNKNOWN [11.91s]
[182/3763] verussystems/ironkv-smt-marshal_v.26.smt2 -> UNSAT [2.14s]
[183/3763] verussystems/ironkv-smt-delegation_map_v.34.smt2 -> UNSAT [2.77s]
[184/3763] verussystems/ironkv-smt-delegation_map_v.8.smt2 -> UNSAT [2.45s]
[185/3763] verussystems/mimalloc-smt-linked_list__StuffAgree.2.smt2 -> UNSAT [2.11s]
[186/3763] verussystems/ironkv-smt-marshal_v.12.smt2 -> UNKNOWN [2.40s]
[187/3763] verussystems/noderep-smt-spec__flat_combiner__FlatCombiner.7.smt2 -> UNSAT [3.38s]
[188/3763] verussystems/noderep-smt-spec__rwlock__RwLockSpec.1.smt2 -> UNKNOWN [4.29s]
[189/3763] verussystems/ironkv-smt-verus_extra__set_lib_ext_v.13.smt2 -> UNKNOWN [2.61s]
[190/3763] verussystems/noderep-smt-spec__rwlock__RwLockSpec.19.smt2 -> UNKNOWN [4.29s]
[191/3763] verussystems/noderep-smt-spec__unbounded_log__UnboundedLog.21.smt2 -> UNSAT [4.11s]
[192/3763] verussystems/mimalloc-smt-types__BoolAgree.3.smt2 -> UNSAT [2.16s]
[193/3763] verussystems/ironkv-smt-keys_t.4.smt2 -> UNSAT [2.13s]
[194/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.9.smt2 -> UNSAT [2.49s]
[195/3763] verussystems/ironkv-smt-marshal_v.4.smt2 -> UNKNOWN [2.35s]
[196/3763] verussystems/ironkv-smt-host_protocol_t.5.smt2 -> UNSAT [4.20s]
[197/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-pmem__traits_t.1.smt2 -> UNSAT [2.26s]
[198/3763] verussystems/ironkv-smt-marshal_v.51.smt2 -> UNKNOWN [2.69s]
[199/3763] verussystems/ironkv-smt-cmessage_v.10.smt2 -> UNSAT [2.47s]
[200/3763] verussystems/ironkv-smt-seq_is_unique_v.5.smt2 -> UNKNOWN [2.77s]
[201/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-kv__kvimpl_t.12.smt2 -> UNSAT [6.25s]
[202/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-kv__kvimpl_t.11.smt2 -> UNSAT [6.33s]
[203/3763] verussystems/ironkv-smt-marshal_v.15.smt2 -> UNSAT [2.52s]
[204/3763] verussystems/ironkv-smt-verus_extra__seq_lib_v.11.smt2 -> UNKNOWN [2.32s]
[205/3763] verussystems/noderep-smt-spec__unbounded_log__UnboundedLog.5.smt2 -> UNSAT [3.31s]
[206/3763] verussystems/noderep-smt-spec__unbounded_log_refines_simplelog.6.smt2 -> UNSAT [2.65s]
[207/3763] verussystems/ironkv-smt-io_t.3.smt2 -> UNSAT [2.41s]
[208/3763] verussystems/noderep-smt-spec__rwlock__RwLockSpec.8.smt2 -> UNKNOWN [7.48s]
[209/3763] verussystems/noderep-smt-exec__rwlock.3.smt2 -> UNSAT [3.01s]
[210/3763] verussystems/mimalloc-smt-pigeonhole.5.smt2 -> UNKNOWN [3.72s]
[211/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.22.smt2 -> UNSAT [2.61s]
[212/3763] verussystems/verified-storage-smt-verified-storage-smt-storage-node-log__layout_v.2.smt2 -> UNSAT [2.51s]
[213/3763] verussystems/ironkv-smt-verus_extra__set_lib_ext_v.4.smt2 -> UNKNOWN [3.39s]
[214/3763] verussystems/noderep-smt-spec__unbounded_log__UnboundedLog.18.smt2 -> UNKNOWN [5.43s]
[215/3763] verussystems/mimalloc-smt-flags.8.smt2 -> UNSAT [2.56s]
[216/3763] verussystems/ironkv-smt-verus_extra__set_lib_ext_v.21.smt2 -> UNKNOWN [2.13s]
[217/3763] verussystems/ironkv-smt-marshal_v.43.smt2 -> UNSAT [2.68s]
[218/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.8.smt2 -> UNKNOWN [3.07s]
[219/3763] verussystems/noderep-smt-spec__rwlock__RwLockSpec.9.smt2 -> UNSAT [3.12s]
[220/3763] verussystems/noderep-smt-spec__rwlock__RwLockSpec.3.smt2 -> UNSAT [2.84s]
[221/3763] verussystems/ironkv-smt-args_t.2.smt2 -> UNKNOWN [2.63s]
[222/3763] verussystems/noderep-smt-exec__rwlock.7.smt2 -> UNSAT [2.64s]
[223/3763] verussystems/ironkv-smt-verus_extra__seq_lib_v.4.smt2 -> UNKNOWN [2.70s]
[224/3763] verussystems/ironkv-smt-marshal_v.3.smt2 -> UNSAT [2.67s]
[225/3763] verussystems/verified-storage-smt-verified-storage-smt-pmemlog-pmemspec_t.2.smt2 -> UNSAT [2.58s]
[226/3763] atmosphere/slinkedlist__spec_impl_u.5.smt2 -> UNKNOWN [14.27s]
[227/3763] verussystems/verified-storage-smt-verified-storage-smt-pmemlog-logimpl_v.3.smt2 -> UNSAT [2.59s]
[228/3763] verussystems/ironkv-smt-marshal_ironsht_specific_v.44.smt2 -> UNSAT [2.96s]
[229/3763] verussystems/noderep-smt-spec__unbounded_log.1.smt2 -> UNKNOWN [2.61s]
[230/3763] verussystems/ironkv-smt-marshal_v.6.smt2 -> UNKNOWN [3.07s]
[231/3763] atmosphere/pagetable__pagemap_util_t.2.smt2 -> UNKNOWN [14.61s]
[232/3763] verussystems/ironkv-smt-verus_extra__set_lib_ext_v.11.smt2 -> UNKNOWN [3.75s]
[233/3763] verussystems/noderep-smt-exec__rwlock.5.smt2 -> UNKNOWN [3.80s]
