Starting to process folder: /Users/shaamarl/Desktop/Projects/opensourceversions/Sundance-SMT/20241211-verus
[225/3763] splinterdb/allocation_layer__AllocationJournal_v__AllocationJournal.18.smt2 -> UNSAT [5.96s]
[226/3763] splinterdb/betree__Buffer_v.8.smt2 -> UNSAT [2.79s]
[227/3763] splinterdb/betree__LinkedBranch_v__Refinement_v.1.smt2 -> TIMEOUT [60.05s]
[228/3763] splinterdb/betree__LinkedBetree_v.25.smt2 -> UNKNOWN [18.27s]
[229/3763] splinterdb/allocation_layer__AllocationJournal_v__AllocationJournal.19.smt2 -> TIMEOUT [60.07s]
[230/3763] splinterdb/allocation_layer__MiniAllocator_v.10.smt2 -> UNKNOWN [2.17s]
[231/3763] splinterdb/betree__FilteredBetree_v.1.smt2 -> UNKNOWN [3.46s]
[232/3763] splinterdb/betree__PagedBetree_v.13.smt2 -> UNSAT [2.17s]
[233/3763] splinterdb/betree__FilteredBetreeRefinement_v.24.smt2 -> TIMEOUT [60.06s]
[234/3763] splinterdb/betree__LinkedBetree_v.33.smt2 -> UNSAT [3.15s]
[235/3763] splinterdb/allocation_layer__LikesBetree_v__LikesBetree.5.smt2 -> UNSAT [3.16s]
[236/3763] splinterdb/betree__PivotBetree_v.38.smt2 -> UNKNOWN [3.18s]
[237/3763] splinterdb/betree__LinkedBranch_v__Refinement_v.23.smt2 -> TIMEOUT [60.10s]
[238/3763] splinterdb/betree__PivotBranchRefinement_v.3.smt2 -> UNKNOWN [10.21s]
[239/3763] splinterdb/marshalling__IntegerMarshalling_v.14.smt2 -> UNKNOWN [2.88s]
[240/3763] splinterdb/betree__PivotBetreeRefinement_v.8.smt2 -> TIMEOUT [60.09s]
[241/3763] splinterdb/betree__LinkedBranch_v__Refinement_v.22.smt2 -> TIMEOUT [60.08s]
[242/3763] splinterdb/betree__PivotBranch_v.22.smt2 -> UNSAT [2.76s]
[243/3763] splinterdb/betree__LinkedBranch_v.29.smt2 -> UNSAT [1.92s]
[244/3763] splinterdb/betree__LinkedBetree_v.64.smt2 -> UNKNOWN [4.82s]
[245/3763] splinterdb/allocation_layer__LikesBetree_v.1.smt2 -> UNSAT [2.17s]
[246/3763] splinterdb/allocation_layer__MiniAllocator_v.4.smt2 -> UNSAT [3.48s]
[247/3763] splinterdb/betree__FilteredBetreeRefinement_v.25.smt2 -> TIMEOUT [60.09s]
[248/3763] splinterdb/allocation_layer__UnifiedCrashAwareJournal_v.15.smt2 -> TIMEOUT [60.06s]
[249/3763] splinterdb/betree__PivotBranchRefinement_v.20.smt2 -> UNKNOWN [26.88s]
[250/3763] splinterdb/betree__LinkedBranch_v.8.smt2 -> UNSAT [3.88s]
[251/3763] splinterdb/journal__LinkedJournal_v.4.smt2 -> UNSAT [4.35s]
[252/3763] splinterdb/marshalling__IntegerMarshalling_v.43.smt2 -> UNKNOWN [3.01s]
[253/3763] splinterdb/journal__LinkedJournal_v.37.smt2 -> UNSAT [3.32s]
[254/3763] splinterdb/spec__AppIO_t.2.smt2 -> UNKNOWN [2.74s]
[255/3763] splinterdb/allocation_layer__AllocationJournal_v.41.smt2 -> UNSAT [3.28s]
[256/3763] splinterdb/betree__LinkedBranch_v.52.smt2 -> UNSAT [2.11s]
[257/3763] splinterdb/betree__PivotBetree_v.14.smt2 -> UNKNOWN [6.40s]
[258/3763] splinterdb/betree__BufferSeq_v.5.smt2 -> UNSAT [2.42s]
[259/3763] splinterdb/marshalling__IntegerMarshalling_v.38.smt2 -> UNSAT [2.81s]
[260/3763] splinterdb/exec__MiniAllocator_v.10.smt2 -> UNSAT [2.08s]
[261/3763] splinterdb/betree__PagedBetree_v.29.smt2 -> UNKNOWN [2.19s]
[262/3763] splinterdb/marshalling__IntegerMarshalling_v.2.smt2 -> UNKNOWN [2.18s]
[263/3763] splinterdb/betree__FilteredBetreeRefinement_v.33.smt2 -> TIMEOUT [60.08s]
[264/3763] splinterdb/allocation_layer__UnifiedCrashAwareJournalRefinement_v.6.smt2 -> TIMEOUT [60.06s]
[265/3763] splinterdb/betree__LinkedBetree_v__LinkedBetreeVars.5.smt2 -> TIMEOUT [60.07s]
[266/3763] splinterdb/allocation_layer__AllocationJournal_v.16.smt2 -> UNSAT [2.36s]
[267/3763] splinterdb/betree__LinkedBetree_v.48.smt2 -> UNSAT [5.03s]
[268/3763] splinterdb/betree__PivotBetree_v.43.smt2 -> UNSAT [2.10s]
[269/3763] splinterdb/betree__PagedBetreeRefinement_v.20.smt2 -> UNKNOWN [9.78s]
[270/3763] splinterdb/abstract_system__AbstractCrashAwareSystemRefinement_v.29.smt2 -> TIMEOUT [60.03s]
[271/3763] splinterdb/betree__LinkedBranch_v__Refinement_v.34.smt2 -> TIMEOUT [60.09s]
[272/3763] splinterdb/betree__PivotBetreeRefinement_v.27.smt2 -> TIMEOUT [60.06s]
[273/3763] splinterdb/betree__PivotBranch_v.6.smt2 -> UNKNOWN [3.68s]
[274/3763] splinterdb/betree__Memtable_v.11.smt2 -> TIMEOUT [60.08s]
[275/3763] splinterdb/betree__BufferOffsets_v.10.smt2 -> UNKNOWN [2.08s]
[276/3763] splinterdb/journal__PagedJournalRefinement_v.21.smt2 -> TIMEOUT [60.05s]
[277/3763] splinterdb/betree__FilteredBetree_v.13.smt2 -> TIMEOUT [60.06s]
[278/3763] splinterdb/betree__PivotBranch_v.18.smt2 -> UNSAT [3.30s]
[279/3763] splinterdb/betree__LinkedBranch_v.13.smt2 -> UNSAT [2.74s]
[280/3763] splinterdb/journal__PagedJournal_v__PagedJournal.1.smt2 -> UNSAT [2.31s]
[281/3763] splinterdb/allocation_layer__LikesJournal_v.10.smt2 -> UNKNOWN [2.47s]
[282/3763] splinterdb/allocation_layer__UnifiedCrashAwareJournal_v__UnifiedCrashAwareJournal.9.smt2 -> TIMEOUT [60.06s]
[283/3763] splinterdb/journal__PagedJournal_v.31.smt2 -> TIMEOUT [60.07s]
[284/3763] splinterdb/allocation_layer__AllocationJournal_v__AllocationJournal.6.smt2 -> UNSAT [2.56s]
[285/3763] splinterdb/betree__PivotBetree_v.5.smt2 -> UNKNOWN [2.69s]
[286/3763] splinterdb/abstract_system__MsgHistory_v.25.smt2 -> UNSAT [1.80s]
[287/3763] splinterdb/abstract_system__MsgHistory_v.9.smt2 -> UNSAT [1.71s]
[288/3763] splinterdb/abstract_system__AbstractCrashAwareSystemRefinement_v.7.smt2 -> UNSAT [2.03s]
[289/3763] splinterdb/allocation_layer__LikesJournal_v.9.smt2 -> UNSAT [2.28s]
